title,price,location,bedrooms,listing_url,scraped_at,log_price,bed_bath_ratio,tier,tier_Premium
2 Bed Apartment with Swimming Pool at Mvuli Road,11500000.0,Westlands,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4027887,2026-07-21T13:44:58.924520,16.25785759333348,1.0,Premium,1
3 Bed Apartment with En Suite in Lavington,10500000.0,Lavington,3,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-lavington-4027110,2026-07-21T13:44:58.924526,16.166885815127753,1.0,Mid,0
3 Bed Apartment with En Suite in Lavington,9000000.0,Lavington,3,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-lavington-4027884,2026-07-21T13:44:58.924533,16.012735135300492,1.0,Mid,0
3 Bed Apartment with En Suite in Lavington,9000000.0,Lavington,3,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-lavington-4027883,2026-07-21T13:44:58.924539,16.012735135300492,1.0,Mid,0
2 Bed Apartment with En Suite at Muthangari Drive,16000000.0,Westlands,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4027879,2026-07-21T13:44:58.924545,16.588099280204055,1.0,Premium,1
2 Bed Apartment with En Suite in Lavington,7000000.0,Lavington,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-lavington-4027121,2026-07-21T13:44:58.924552,15.761420707019589,1.0,Mid,0
2 Bed Apartment with En Suite in Lavington,6000000.0,Lavington,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-lavington-4027881,2026-07-21T13:44:58.924558,15.60727002719233,1.0,Mid,0
2 Bed Apartment with En Suite in Lavington,6000000.0,Lavington,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-lavington-4027880,2026-07-21T13:44:58.924565,15.60727002719233,1.0,Mid,0
1 Bed Apartment with En Suite in Lavington,4000000.0,Lavington,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-lavington-4027104,2026-07-21T13:44:58.924571,15.201804919084164,1.0,Mid,0
1 Bed Apartment with En Suite in Lavington,3000000.0,Lavington,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-lavington-4027878,2026-07-21T13:45:25.080686,14.914122846632385,1.0,Mid,0
1 Bed Apartment with En Suite in Lavington,3000000.0,Lavington,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-lavington-4027877,2026-07-21T13:45:25.080690,14.914122846632385,1.0,Mid,0
1 Bed Apartment with Swimming Pool at Muthangari Drive,9100000.0,Westlands,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4027874,2026-07-21T13:45:25.080693,16.02378497148708,1.0,Premium,1
4 Bed Apartment with En Suite in Kileleshwa,20000000.0,Kileleshwa,4,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kileleshwa-4027195,2026-07-21T13:45:25.080696,16.811242831518264,0.8,Mid,0
3 Bed Apartment with En Suite in Kileleshwa,10500000.0,Kileleshwa,3,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-4027191,2026-07-21T13:45:25.080700,16.166885815127753,1.0,Mid,0
